Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
4,2.5,Alameda,94501,West Alameda,4465 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4465 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4405 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4405 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4490 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4515 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4515 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4615 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4280 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4405 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4330 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4330 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4430 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4430 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
